[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:27:41 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:04 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:04 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:04 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:04 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:04 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:04 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:04 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:04 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:04 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iTXt' 648 3448
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'bKGD' 4108 6
